product_id,brand,category,rating,review_text,review_date
100001,Samsung,Home,3.9,Highly recommended,2025-11-26
100002,Samsung,Home,3.1,Works perfectly,2025-10-29
100003,Boat,Appliances,4.2,Stopped working quickly,2025-11-30
100004,HP,Home,4.1,Bad experience,2025-11-15
100005,Boat,Home,4.4,"Excellent product, very satisfied",2025-12-03
100006,Dell,Appliances,4.3,Stopped working quickly,2025-11-15
100007,Apple,Electronics,3.9,Poor quality,2025-12-07
100008,HP,Home,4.2,Poor quality,2025-11-01
100009,Dell,Home,4.6,Product is okay,2025-12-23
100010,LG,Electronics,4.9,Very disappointed,2025-12-15
100011,Sony,Appliances,4.6,Worth the money,2025-11-02
100012,LG,Fashion,3.1,Worth the money,2025-10-29
100013,Dell,Appliances,4.4,Meets expectations,2025-11-26
100014,Nike,Appliances,3.3,Not worth the price,2025-12-25
100015,Puma,Fashion,4.9,Highly recommended,2025-11-23
100016,LG,Electronics,4.3,"Not bad, not great",2025-12-04
100017,Sony,Home,4.7,Highly recommended,2025-12-25
100018,Boat,Electronics,2.7,Meets expectations,2025-12-16
100019,Apple,Appliances,4.4,Very disappointed,2025-12-24
100020,Dell,Fashion,3.5,Quality is really good,2025-11-20
100021,Boat,Appliances,2.8,Not worth the price,2025-11-14
100022,Nike,Appliances,4.8,Highly recommended,2025-10-26
100023,HP,Home,3.9,Stopped working quickly,2025-10-29
100024,HP,Home,4.3,Meets expectations,2025-11-08
100025,Puma,Appliances,3.5,Highly recommended,2025-11-05
100026,Boat,Home,4.9,Highly recommended,2025-12-06
100027,Samsung,Electronics,4.6,Meets expectations,2025-12-09
100028,Dell,Electronics,4.9,Bad experience,2025-11-21
100029,Apple,Appliances,2.9,Highly recommended,2025-12-14
100030,Puma,Home,4.4,Meets expectations,2025-11-25
100031,HP,Home,3.4,Very disappointed,2025-11-08
100032,Puma,Electronics,3.3,"Excellent product, very satisfied",2025-11-03
100033,Boat,Appliances,4.5,Quality is really good,2025-11-24
100034,Nike,Appliances,4.9,Quality is really good,2025-10-31
100035,LG,Home,4.9,"Not bad, not great",2025-11-30
100036,Dell,Electronics,3.4,"Not bad, not great",2025-12-24
100037,Puma,Fashion,3.4,Product is okay,2025-11-30
100038,Nike,Fashion,4.5,Poor quality,2025-11-27
100039,Apple,Appliances,4.7,Quality is really good,2025-12-12
100040,HP,Electronics,3.0,Poor quality,2025-12-10
100041,LG,Fashion,4.0,Poor quality,2025-12-24
100042,Dell,Home,3.1,Bad experience,2025-11-18
100043,Dell,Home,4.8,"Excellent product, very satisfied",2025-11-04
100044,Sony,Electronics,4.4,Average quality,2025-12-04
100045,Nike,Appliances,3.0,Quality is really good,2025-11-09
100046,Dell,Electronics,3.0,"Not bad, not great",2025-12-17
100047,Puma,Fashion,4.7,Works perfectly,2025-12-06
100048,Nike,Electronics,4.8,Not worth the price,2025-11-23
100049,Samsung,Appliances,3.7,Average quality,2025-11-10
100050,LG,Fashion,4.4,"Excellent product, very satisfied",2025-12-03
100051,LG,Electronics,3.8,Stopped working quickly,2025-11-06
100052,Puma,Appliances,4.9,Very disappointed,2025-11-16
100053,LG,Fashion,3.4,Bad experience,2025-11-02
100054,Dell,Fashion,2.5,"Excellent product, very satisfied",2025-10-30
100055,Boat,Home,4.5,Not worth the price,2025-12-05
100056,Apple,Appliances,2.7,Product is okay,2025-12-18
100057,Samsung,Appliances,5.0,"Excellent product, very satisfied",2025-11-03
100058,LG,Home,4.7,Works perfectly,2025-12-17
100059,Apple,Fashion,3.1,Quality is really good,2025-11-05
100060,Sony,Home,2.5,Very disappointed,2025-11-30
100061,Puma,Electronics,4.6,"Excellent product, very satisfied",2025-11-07
100062,LG,Fashion,4.6,Highly recommended,2025-11-02
100063,Sony,Appliances,4.0,Decent for the price,2025-12-04
100064,LG,Fashion,3.3,Quality is really good,2025-11-03
100065,HP,Appliances,2.8,Bad experience,2025-12-15
100066,LG,Home,3.2,Quality is really good,2025-11-10
100067,Apple,Appliances,3.1,Decent for the price,2025-11-15
100068,HP,Home,3.8,Works perfectly,2025-10-29
100069,Boat,Appliances,3.1,Average quality,2025-10-29
100070,Samsung,Fashion,4.1,Stopped working quickly,2025-12-07
100071,Dell,Appliances,3.2,Decent for the price,2025-12-15
100072,HP,Fashion,3.7,Product is okay,2025-12-04
100073,Apple,Electronics,4.2,Poor quality,2025-11-20
100074,LG,Appliances,3.2,Average quality,2025-12-25
100075,Apple,Electronics,4.8,"Not bad, not great",2025-11-07
100076,HP,Home,3.4,Quality is really good,2025-11-11
100077,Samsung,Electronics,3.0,"Excellent product, very satisfied",2025-12-22
100078,Apple,Appliances,4.9,Decent for the price,2025-12-09
100079,Apple,Home,2.8,"Not bad, not great",2025-12-24
100080,Samsung,Electronics,4.9,Meets expectations,2025-12-17
100081,Samsung,Electronics,4.3,Works perfectly,2025-10-27
100082,Apple,Electronics,4.5,Quality is really good,2025-12-04
100083,Nike,Home,2.9,Stopped working quickly,2025-12-14
100084,Sony,Home,3.7,Decent for the price,2025-11-03
100085,HP,Electronics,4.7,Decent for the price,2025-11-07
100086,Samsung,Fashion,3.8,Stopped working quickly,2025-11-17
100087,Apple,Fashion,3.6,Highly recommended,2025-12-10
100088,LG,Home,4.3,Worth the money,2025-10-27
100089,Apple,Home,4.5,Very disappointed,2025-12-16
100090,Boat,Home,3.2,Bad experience,2025-11-29
100091,Sony,Home,3.2,Stopped working quickly,2025-12-02
100092,Nike,Home,3.4,Bad experience,2025-11-15
100093,Sony,Fashion,2.5,Stopped working quickly,2025-12-13
100094,Puma,Electronics,4.5,Worth the money,2025-12-24
100095,Samsung,Electronics,2.5,Meets expectations,2025-11-28
100096,Puma,Electronics,4.4,Average quality,2025-12-07
100097,Apple,Appliances,4.2,"Not bad, not great",2025-11-11
100098,Nike,Appliances,4.3,Bad experience,2025-12-14
100099,Apple,Home,3.6,Bad experience,2025-11-25
100100,Dell,Fashion,3.6,Stopped working quickly,2025-12-24
100101,Apple,Home,3.7,Highly recommended,2025-11-20
100102,Boat,Appliances,3.0,Stopped working quickly,2025-11-26
100103,Samsung,Fashion,3.9,Quality is really good,2025-12-18
100104,Puma,Fashion,4.8,Quality is really good,2025-12-16
100105,Apple,Appliances,3.8,Product is okay,2025-10-28
100106,Apple,Appliances,3.1,Bad experience,2025-12-10
100107,Samsung,Appliances,3.1,Highly recommended,2025-11-12
100108,Dell,Electronics,3.4,Very disappointed,2025-12-25
100109,Boat,Electronics,3.7,Product is okay,2025-11-24
100110,LG,Home,3.7,Very disappointed,2025-11-26
100111,Puma,Appliances,2.9,Not worth the price,2025-11-08
100112,Apple,Home,3.7,Highly recommended,2025-10-29
100113,Sony,Fashion,3.0,Very disappointed,2025-10-30
100114,LG,Fashion,4.2,Product is okay,2025-11-23
100115,Boat,Electronics,4.4,Poor quality,2025-12-07
100116,Boat,Electronics,3.1,Average quality,2025-11-27
100117,Dell,Home,2.8,Quality is really good,2025-12-25
100118,Apple,Appliances,3.4,Meets expectations,2025-11-14
100119,LG,Home,4.1,Decent for the price,2025-10-28
100120,Sony,Electronics,4.2,Product is okay,2025-12-21
100121,Nike,Appliances,5.0,Not worth the price,2025-12-23
100122,LG,Electronics,3.4,Meets expectations,2025-11-24
100123,LG,Home,3.7,Bad experience,2025-12-08
100124,Samsung,Electronics,3.6,Decent for the price,2025-12-25
100125,Apple,Electronics,3.7,Product is okay,2025-11-04
100126,HP,Home,4.9,Highly recommended,2025-12-20
100127,Boat,Electronics,2.9,Worth the money,2025-11-27
100128,Dell,Electronics,3.3,Works perfectly,2025-11-14
100129,HP,Appliances,3.1,Very disappointed,2025-12-02
100130,HP,Home,2.6,Very disappointed,2025-12-20
100131,Puma,Home,2.8,Works perfectly,2025-10-28
100132,Samsung,Fashion,4.9,Quality is really good,2025-12-23
100133,Nike,Fashion,4.5,Product is okay,2025-12-20
100134,Sony,Appliances,3.6,Quality is really good,2025-12-22
100135,HP,Electronics,4.9,Highly recommended,2025-12-09
100136,Sony,Appliances,2.5,Works perfectly,2025-11-17
100137,Apple,Home,3.6,Bad experience,2025-11-21
100138,HP,Appliances,3.3,Works perfectly,2025-12-02
100139,Samsung,Fashion,2.8,Bad experience,2025-11-20
100140,LG,Electronics,2.6,Bad experience,2025-11-29
100141,Boat,Appliances,4.9,"Excellent product, very satisfied",2025-11-04
100142,LG,Appliances,5.0,Worth the money,2025-10-26
100143,Puma,Fashion,3.7,Product is okay,2025-11-02
100144,Nike,Home,4.6,Decent for the price,2025-12-14
100145,Puma,Electronics,4.9,Poor quality,2025-11-10
100146,Apple,Home,4.7,Poor quality,2025-11-08
100147,Boat,Appliances,2.9,Product is okay,2025-12-20
100148,Sony,Appliances,4.3,Average quality,2025-11-05
100149,Sony,Electronics,3.1,Worth the money,2025-12-14
100150,LG,Home,4.8,Worth the money,2025-11-27
100151,Boat,Appliances,4.0,Not worth the price,2025-10-30
100152,LG,Appliances,3.5,"Not bad, not great",2025-10-26
100153,HP,Electronics,4.7,Works perfectly,2025-12-21
100154,Nike,Home,4.7,Meets expectations,2025-11-12
100155,HP,Home,3.3,Poor quality,2025-11-12
100156,LG,Electronics,2.7,Poor quality,2025-11-18
100157,Sony,Fashion,4.9,Very disappointed,2025-11-22
100158,Dell,Home,3.2,Very disappointed,2025-11-26
100159,Boat,Appliances,4.6,Highly recommended,2025-10-30
100160,Apple,Fashion,4.4,"Not bad, not great",2025-11-15
100161,Boat,Home,3.7,Decent for the price,2025-10-31
100162,HP,Home,4.7,Average quality,2025-10-26
100163,Apple,Home,4.4,Poor quality,2025-11-14
100164,Sony,Fashion,4.9,Worth the money,2025-12-08
100165,Apple,Appliances,2.8,Stopped working quickly,2025-12-22
100166,LG,Electronics,3.3,Works perfectly,2025-12-13
100167,Dell,Appliances,4.6,Worth the money,2025-12-04
100168,Puma,Fashion,3.6,Meets expectations,2025-11-19
100169,Dell,Appliances,4.5,Works perfectly,2025-11-17
100170,Apple,Home,4.3,Works perfectly,2025-11-11
100171,Sony,Fashion,3.6,Decent for the price,2025-12-23
100172,Sony,Electronics,4.3,Stopped working quickly,2025-11-13
100173,Boat,Appliances,4.2,Worth the money,2025-11-20
100174,Boat,Electronics,2.9,Average quality,2025-11-24
100175,HP,Appliances,3.0,Works perfectly,2025-11-02
100176,Dell,Fashion,2.5,"Excellent product, very satisfied",2025-11-27
100177,Samsung,Appliances,4.1,Not worth the price,2025-11-03
100178,Dell,Appliances,4.6,Average quality,2025-12-07
100179,Apple,Electronics,2.9,Average quality,2025-12-14
100180,Boat,Electronics,4.7,"Excellent product, very satisfied",2025-11-28
100181,HP,Home,3.5,Very disappointed,2025-11-29
100182,HP,Electronics,4.4,"Not bad, not great",2025-12-08
100183,HP,Home,4.2,Highly recommended,2025-11-01
100184,Apple,Home,4.9,"Not bad, not great",2025-10-29
100185,Dell,Electronics,3.0,Decent for the price,2025-12-24
100186,HP,Home,4.9,Product is okay,2025-12-19
100187,Dell,Electronics,4.0,Works perfectly,2025-11-16
100188,LG,Electronics,2.6,"Excellent product, very satisfied",2025-11-30
100189,Apple,Electronics,4.5,Very disappointed,2025-11-08
100190,LG,Appliances,3.2,Very disappointed,2025-12-04
