product_id,product_name,brand,category,sub_category,seller_id,price,discount_percent,stock_quantity,reorder_level,warehouse_location,rating,total_reviews,availability_status,last_updated,customer_review,review_text,feedback,comment,description
100001,Samsung Furniture Model-665,Samsung,Home,Furniture,SELL1001,19464,20,313,53,Delhi,3.9,572,In Stock,2025-11-27,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100002,Samsung Furniture Model-208,Samsung,Home,Furniture,SELL1003,46472,30,20,65,Mumbai,3.1,1559,In Stock,2025-12-21,Works perfectly,Works perfectly,Works perfectly,Works perfectly,Works perfectly
100003,Boat Refrigerator Model-810,Boat,Appliances,Refrigerator,SELL1002,38805,15,231,59,Chennai,4.2,2819,In Stock,2025-12-25,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly
100004,HP Decor Model-244,HP,Home,Decor,SELL1003,26414,10,104,42,Delhi,4.1,1133,In Stock,2025-12-20,Bad experience,Bad experience,Bad experience,Bad experience,Bad experience
100005,Boat Furniture Model-483,Boat,Home,Furniture,SELL1002,2021,15,386,72,Chennai,4.4,322,In Stock,2025-12-17,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100006,Dell Refrigerator Model-406,Dell,Appliances,Refrigerator,SELL1003,5373,20,225,37,Mumbai,4.3,3049,In Stock,2025-11-30,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly
100007,Apple Headphones Model-919,Apple,Electronics,Headphones,SELL1001,18606,0,36,68,Chennai,3.9,128,In Stock,2025-11-26,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100008,HP Decor Model-330,HP,Home,Decor,SELL1004,14784,15,498,85,Hyderabad,4.2,40,In Stock,2025-12-13,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100009,Dell Decor Model-378,Dell,Home,Decor,SELL1001,46075,20,131,26,Hyderabad,4.6,2885,In Stock,2025-12-19,Product is okay,Product is okay,Product is okay,Product is okay,Product is okay
100010,LG Headphones Model-456,LG,Electronics,Headphones,SELL1001,42730,30,0,68,Bangalore,4.9,2301,Out of Stock,2025-12-10,Very disappointed,Very disappointed,Very disappointed,Very disappointed,Very disappointed
100011,Sony Refrigerator Model-613,Sony,Appliances,Refrigerator,SELL1003,3167,0,248,43,Hyderabad,4.6,2051,In Stock,2025-12-03,Worth the money,Worth the money,Worth the money,Worth the money,Worth the money
100012,LG Kids Model-395,LG,Fashion,Kids,SELL1002,28987,15,451,50,Hyderabad,3.1,1354,In Stock,2025-12-20,Worth the money,Worth the money,Worth the money,Worth the money,Worth the money
100013,Dell AC Model-935,Dell,Appliances,AC,SELL1001,47810,0,496,47,Mumbai,4.4,390,In Stock,2025-12-02,Meets expectations,Meets expectations,Meets expectations,Meets expectations,Meets expectations
100014,Nike Washing Machine Model-746,Nike,Appliances,Washing Machine,SELL1002,12958,15,12,28,Mumbai,3.3,2284,In Stock,2025-12-15,Not worth the price,Not worth the price,Not worth the price,Not worth the price,Not worth the price
100015,Puma Women Model-932,Puma,Fashion,Women,SELL1002,23799,10,454,27,Hyderabad,4.9,743,In Stock,2025-12-17,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100016,LG Headphones Model-887,LG,Electronics,Headphones,SELL1003,6938,30,270,91,Hyderabad,4.3,1164,In Stock,2025-12-24,"Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great"
100017,Sony Decor Model-322,Sony,Home,Decor,SELL1003,13412,20,15,74,Bangalore,4.7,3980,In Stock,2025-12-25,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100018,Boat Mobile Model-126,Boat,Electronics,Mobile,SELL1002,40928,20,489,56,Delhi,2.7,1343,In Stock,2025-12-14,Meets expectations,Meets expectations,Meets expectations,Meets expectations,Meets expectations
100019,Apple Refrigerator Model-614,Apple,Appliances,Refrigerator,SELL1001,26125,30,275,48,Chennai,4.4,2710,In Stock,2025-12-19,Very disappointed,Very disappointed,Very disappointed,Very disappointed,Very disappointed
100020,Dell Men Model-512,Dell,Fashion,Men,SELL1004,2941,0,62,51,Chennai,3.5,954,In Stock,2025-12-07,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100021,Boat Washing Machine Model-831,Boat,Appliances,Washing Machine,SELL1001,9187,15,236,61,Mumbai,2.8,587,In Stock,2025-12-24,Not worth the price,Not worth the price,Not worth the price,Not worth the price,Not worth the price
100022,Nike AC Model-246,Nike,Appliances,AC,SELL1001,27951,10,193,86,Hyderabad,4.8,463,In Stock,2025-12-20,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100023,HP Decor Model-550,HP,Home,Decor,SELL1002,7062,15,470,22,Mumbai,3.9,155,In Stock,2025-12-11,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly
100024,HP Kitchen Model-202,HP,Home,Kitchen,SELL1004,41763,0,361,82,Mumbai,4.3,965,In Stock,2025-12-10,Meets expectations,Meets expectations,Meets expectations,Meets expectations,Meets expectations
100025,Puma Washing Machine Model-431,Puma,Appliances,Washing Machine,SELL1002,8204,20,359,28,Delhi,3.5,4132,In Stock,2025-12-13,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100026,Boat Furniture Model-950,Boat,Home,Furniture,SELL1002,3056,15,484,37,Mumbai,4.9,3821,In Stock,2025-12-01,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100027,Samsung Headphones Model-350,Samsung,Electronics,Headphones,SELL1001,22186,20,466,20,Delhi,4.6,835,In Stock,2025-12-17,Meets expectations,Meets expectations,Meets expectations,Meets expectations,Meets expectations
100028,Dell Smartwatch Model-885,Dell,Electronics,Smartwatch,SELL1002,6951,30,120,41,Delhi,4.9,4523,In Stock,2025-12-18,Bad experience,Bad experience,Bad experience,Bad experience,Bad experience
100029,Apple Washing Machine Model-858,Apple,Appliances,Washing Machine,SELL1004,699,10,94,62,Bangalore,2.9,1923,In Stock,2025-12-08,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100030,Puma Decor Model-277,Puma,Home,Decor,SELL1003,21881,15,16,40,Bangalore,4.4,3768,In Stock,2025-11-27,Meets expectations,Meets expectations,Meets expectations,Meets expectations,Meets expectations
100031,HP Decor Model-801,HP,Home,Decor,SELL1002,23010,0,209,44,Mumbai,3.4,3520,In Stock,2025-12-20,Very disappointed,Very disappointed,Very disappointed,Very disappointed,Very disappointed
100032,Puma Mobile Model-869,Puma,Electronics,Mobile,SELL1004,15323,0,89,96,Bangalore,3.3,4176,In Stock,2025-12-18,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100033,Boat Washing Machine Model-732,Boat,Appliances,Washing Machine,SELL1004,3377,20,167,70,Hyderabad,4.5,3327,In Stock,2025-12-13,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100034,Nike AC Model-823,Nike,Appliances,AC,SELL1004,15618,10,398,51,Chennai,4.9,745,In Stock,2025-11-29,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100035,LG Decor Model-922,LG,Home,Decor,SELL1004,16696,20,242,32,Delhi,4.9,3845,In Stock,2025-12-02,"Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great"
100036,Dell Mobile Model-338,Dell,Electronics,Mobile,SELL1004,22779,30,451,86,Mumbai,3.4,1448,In Stock,2025-12-15,"Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great"
100037,Puma Women Model-964,Puma,Fashion,Women,SELL1003,31500,15,273,47,Bangalore,3.4,2969,In Stock,2025-12-11,Product is okay,Product is okay,Product is okay,Product is okay,Product is okay
100038,Nike Men Model-447,Nike,Fashion,Men,SELL1001,6537,20,409,95,Chennai,4.5,3936,In Stock,2025-11-29,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100039,Apple AC Model-207,Apple,Appliances,AC,SELL1004,34065,20,12,57,Mumbai,4.7,1151,In Stock,2025-12-02,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100040,HP Laptop Model-900,HP,Electronics,Laptop,SELL1004,35619,0,212,46,Hyderabad,3.0,4941,In Stock,2025-12-23,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100041,LG Men Model-259,LG,Fashion,Men,SELL1002,41075,20,356,76,Bangalore,4.0,4580,In Stock,2025-12-10,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100042,Dell Kitchen Model-193,Dell,Home,Kitchen,SELL1003,18198,0,371,26,Mumbai,3.1,817,In Stock,2025-12-20,Bad experience,Bad experience,Bad experience,Bad experience,Bad experience
100043,Dell Decor Model-684,Dell,Home,Decor,SELL1001,36858,15,99,41,Hyderabad,4.8,2066,In Stock,2025-12-24,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100044,Sony Headphones Model-976,Sony,Electronics,Headphones,SELL1001,30305,0,130,84,Chennai,4.4,4733,In Stock,2025-11-30,Average quality,Average quality,Average quality,Average quality,Average quality
100045,Nike AC Model-980,Nike,Appliances,AC,SELL1001,38735,5,484,76,Bangalore,3.0,1414,In Stock,2025-12-23,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100046,Dell Headphones Model-992,Dell,Electronics,Headphones,SELL1002,33186,20,193,31,Bangalore,3.0,3273,In Stock,2025-11-27,"Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great"
100047,Puma Men Model-358,Puma,Fashion,Men,SELL1004,19027,15,73,66,Delhi,4.7,578,In Stock,2025-12-03,Works perfectly,Works perfectly,Works perfectly,Works perfectly,Works perfectly
100048,Nike Laptop Model-829,Nike,Electronics,Laptop,SELL1001,19614,0,82,76,Hyderabad,4.8,3508,In Stock,2025-12-06,Not worth the price,Not worth the price,Not worth the price,Not worth the price,Not worth the price
100049,Samsung Washing Machine Model-950,Samsung,Appliances,Washing Machine,SELL1002,25987,10,355,21,Mumbai,3.7,2652,In Stock,2025-12-17,Average quality,Average quality,Average quality,Average quality,Average quality
100050,LG Men Model-409,LG,Fashion,Men,SELL1004,26212,20,430,40,Delhi,4.4,952,In Stock,2025-12-23,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100051,LG Laptop Model-977,LG,Electronics,Laptop,SELL1004,37892,0,158,88,Delhi,3.8,3348,In Stock,2025-11-26,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly
100052,Puma AC Model-209,Puma,Appliances,AC,SELL1002,37600,0,217,95,Chennai,4.9,3827,In Stock,2025-12-02,Very disappointed,Very disappointed,Very disappointed,Very disappointed,Very disappointed
100053,LG Men Model-483,LG,Fashion,Men,SELL1002,42726,15,232,51,Bangalore,3.4,303,In Stock,2025-12-05,Bad experience,Bad experience,Bad experience,Bad experience,Bad experience
100054,Dell Men Model-932,Dell,Fashion,Men,SELL1003,12390,15,244,51,Mumbai,2.5,2586,In Stock,2025-12-23,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100055,Boat Furniture Model-162,Boat,Home,Furniture,SELL1002,1132,10,456,69,Hyderabad,4.5,1884,In Stock,2025-12-14,Not worth the price,Not worth the price,Not worth the price,Not worth the price,Not worth the price
100056,Apple AC Model-486,Apple,Appliances,AC,SELL1004,48573,0,277,91,Bangalore,2.7,3425,In Stock,2025-12-13,Product is okay,Product is okay,Product is okay,Product is okay,Product is okay
100057,Samsung AC Model-493,Samsung,Appliances,AC,SELL1001,45523,10,229,98,Delhi,5.0,4673,In Stock,2025-12-13,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100058,LG Kitchen Model-112,LG,Home,Kitchen,SELL1003,27977,5,74,31,Mumbai,4.7,1858,In Stock,2025-12-24,Works perfectly,Works perfectly,Works perfectly,Works perfectly,Works perfectly
100059,Apple Women Model-889,Apple,Fashion,Women,SELL1002,23791,5,169,99,Chennai,3.1,3745,In Stock,2025-12-20,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100060,Sony Kitchen Model-553,Sony,Home,Kitchen,SELL1003,45756,0,487,49,Hyderabad,2.5,1047,In Stock,2025-12-14,Very disappointed,Very disappointed,Very disappointed,Very disappointed,Very disappointed
100061,Puma Smartwatch Model-261,Puma,Electronics,Smartwatch,SELL1003,40831,10,79,50,Delhi,4.6,2011,In Stock,2025-12-20,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100062,LG Men Model-803,LG,Fashion,Men,SELL1002,21526,20,238,68,Chennai,4.6,4152,In Stock,2025-12-09,Highly recommended,Highly recommended,Highly recommended,Highly recommended,Highly recommended
100063,Sony AC Model-162,Sony,Appliances,AC,SELL1003,6081,30,417,74,Mumbai,4.0,727,In Stock,2025-12-09,Decent for the price,Decent for the price,Decent for the price,Decent for the price,Decent for the price
100064,LG Women Model-262,LG,Fashion,Women,SELL1004,9886,0,304,95,Mumbai,3.3,4849,In Stock,2025-12-01,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100065,HP Refrigerator Model-991,HP,Appliances,Refrigerator,SELL1004,1334,30,107,69,Delhi,2.8,1649,In Stock,2025-12-05,Bad experience,Bad experience,Bad experience,Bad experience,Bad experience
100066,LG Kitchen Model-167,LG,Home,Kitchen,SELL1002,13362,30,333,76,Bangalore,3.2,2986,In Stock,2025-11-25,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100067,Apple Washing Machine Model-817,Apple,Appliances,Washing Machine,SELL1002,9383,0,258,91,Mumbai,3.1,2871,In Stock,2025-12-12,Decent for the price,Decent for the price,Decent for the price,Decent for the price,Decent for the price
100068,HP Decor Model-866,HP,Home,Decor,SELL1002,47134,20,332,32,Mumbai,3.8,4355,In Stock,2025-12-24,Works perfectly,Works perfectly,Works perfectly,Works perfectly,Works perfectly
100069,Boat AC Model-146,Boat,Appliances,AC,SELL1003,42083,15,137,62,Hyderabad,3.1,3572,In Stock,2025-11-27,Average quality,Average quality,Average quality,Average quality,Average quality
100070,Samsung Kids Model-668,Samsung,Fashion,Kids,SELL1004,47671,10,261,78,Delhi,4.1,4374,In Stock,2025-12-02,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly,Stopped working quickly
100071,Dell AC Model-846,Dell,Appliances,AC,SELL1003,35366,5,311,24,Chennai,3.2,2949,In Stock,2025-12-08,Decent for the price,Decent for the price,Decent for the price,Decent for the price,Decent for the price
100072,HP Kids Model-445,HP,Fashion,Kids,SELL1003,42600,0,469,49,Chennai,3.7,4698,In Stock,2025-11-25,Product is okay,Product is okay,Product is okay,Product is okay,Product is okay
100073,Apple Laptop Model-306,Apple,Electronics,Laptop,SELL1002,15488,5,240,58,Bangalore,4.2,369,In Stock,2025-11-26,Poor quality,Poor quality,Poor quality,Poor quality,Poor quality
100074,LG AC Model-616,LG,Appliances,AC,SELL1001,36689,10,37,70,Chennai,3.2,3761,In Stock,2025-12-19,Average quality,Average quality,Average quality,Average quality,Average quality
100075,Apple Headphones Model-488,Apple,Electronics,Headphones,SELL1001,35551,15,379,76,Chennai,4.8,369,In Stock,2025-12-11,"Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great","Not bad, not great"
100076,HP Furniture Model-876,HP,Home,Furniture,SELL1003,4370,30,52,30,Hyderabad,3.4,3475,In Stock,2025-12-06,Quality is really good,Quality is really good,Quality is really good,Quality is really good,Quality is really good
100077,Samsung Headphones Model-460,Samsung,Electronics,Headphones,SELL1004,41215,0,17,26,Bangalore,3.0,2183,In Stock,2025-12-19,"Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied","Excellent product, very satisfied"
100078,Apple AC Model-137,Apple,Appliances,AC,SELL1004,6662,15,3,59,Delhi,4.9,423,In Stock,2025-11-27,Decent for the price,Decent for the price,Decent for the price,Decent for the price,Decent for the price
